('fs-lr-0007300', '1.1.46', 'will'),
('fs-lr-0237620', '2.4.223', 'will'),
('fs-lr-0238320', '2.4.228', 'Will'),
('fs-lr-0239250', '2.4.235', 'will'),
('fs-lr-0241940', '2.4.252', 'will'),
('fs-lr-0243280', '2.4.259', 'will'),
('fs-lr-0247030', '2.4.282', 'will'),
('fs-lr-0247440', '2.4.285', 'Will'),
('fs-lr-0252700', '2.4.320', 'will'),
('fs-lr-0252950', '2.4.321', 'will'),
('fs-lr-0256100', '2.4.340', 'will'),
('fs-lr-0260460', '3.1.13', 'would'),
('fs-lr-0260800', '3.1.17', 'will'),
('fs-lr-0264550', '3.1.37', 'will'),
('fs-lr-0265300', '3.1.47', 'will'),
('fs-lr-0266350', '3.1.54', 'will'),
('fs-lr-0266710', '3.1.56', 'will'),
('fs-lr-0271260', '3.2.24', 'will'),
('fs-lr-0272050', '3.2.29', 'will'),
('fs-lr-0273180', '3.2.39', 'will'),
('fs-lr-0273340', '3.2.40', 'will'),
('fs-lr-0277090', '3.2.67', 'will'),
('fs-lr-0284740', '3.3.12', 'will'),
('fs-lr-0285130', '3.3.14', 'will'),
('fs-lr-0288250', '3.4.6', 'Wilt'),
('fs-lr-0289166', '3.4.11', '’dst'),
('fs-lr-0289440', '3.4.13', '’dst'),
('fs-lr-0290440', '3.4.19', 'will'),
('fs-lr-0290550', '3.4.20', 'will'),
('fs-lr-0290870', '3.4.21', 'will'),
('fs-lr-0291920', '3.4.28', 'will'),
('fs-lr-0292090', '3.4.29', 'would'),
('fs-lr-0298600', '3.4.69', 'Wouldst'),
('fs-lr-0300490', '3.4.84', 'will'),
('fs-lr-0315330', '3.4.173', 'would'),
('fs-lr-0317650', '3.4.189', 'will'),
('fs-lr-0319360', '3.5.1', 'will'),
('fs-lr-0322490', '3.5.22', 'will'),
('fs-lr-0322640', '3.5.22', 'will'),
('fs-lr-0323000', '3.5.25', 'will'),
('fs-lr-0323740', '3.6.2', 'will'),
('fs-lr-0323960', '3.6.3', 'will'),
('fs-lr-0326900', '3.6.20', 'will'),
('fs-lr-0329130', '3.6.36', 'Will'),
('fs-lr-0333690', '3.6.67', 'will'),
('fs-lr-0334490', '3.6.74', 'will'),
('fs-lr-0336290', '3.6.84', 'will'),
('fs-lr-0339410', '3.6.102', 'will'),
('fs-lr-0339880', '3.6.106', 'will'),
('fs-lr-0342410', '3.6.125', 'will'),
('fs-lr-0349710', '3.7.48', 'Will'),
('fs-lr-0350140', '3.7.50', 'will'),
('fs-lr-0352450', '3.7.69', 'would'),
('fs-lr-0353190', '3.7.73', 'would'),
('fs-lr-0354690', '3.7.83', 'will'),
('fs-lr-0355330', '3.7.86', 'will'),
('fs-lr-0361710', '3.7.124', 'will'),
('fs-lr-0362090', '3.7.126', 'would'),
('fs-lr-0364850', '4.1.12', 'would'),
('fs-lr-0370660', '4.1.49', 'wilt'),
('fs-lr-0372230', '4.1.58', 'will'),
('fs-lr-0375330', '4.1.78', 'will'),
('fs-lr-0381450', '4.2.28', 'Would'),
('fs-lr-0383390', '4.2.43', 'will'),
('fs-lr-0384600', '4.2.51', 'would'),
('fs-lr-0385490', '4.2.59', 'will'),
('fs-lr-0397630', '4.3.26', 'would'),
('fs-lr-0400630', '4.3.49', 'Will'),
('fs-lr-0402400', '4.3.63', 'Will'),
('fs-lr-0405410', '4.4.16', 'Will'),
('fs-lr-0414270', '4.5.43', 'Would'),
('fs-lr-0419320', '4.6.33', 'Would'),
('fs-lr-0421640', '4.6.48', 'wills'),
('fs-lr-0423930', '4.6.63', '’dst'),
('fs-lr-0425940', '4.6.78', 'will'),
('fs-lr-0429130', '4.6.100', 'will'),
('fs-lr-0430320', '4.6.109', 'will'),
('fs-lr-0432490', '4.6.121', 'would'),
('fs-lr-0438820', '4.6.156', 'would'),
('fs-lr-0444610', '4.6.194', 'wilt'),
('fs-lr-0445420', '4.6.198', 'will'),
('fs-lr-0448160', '4.6.215', 'would'),
('fs-lr-0448590', '4.6.218', 'will'),
('fs-lr-0448780', '4.6.219', 'will'),
('fs-lr-0450720', '4.6.229', 'will'),
('fs-lr-0457920', '4.6.276', 'wilt'),
('fs-lr-0458950', '4.6.282', 'would'),
('fs-lr-0460780', '4.6.292', 'will'),
('fs-lr-0460900', '4.6.293', 'will'),
('fs-lr-0461740', '4.6.298', 'would'),
('fs-lr-0462110', '4.6.300', 'will'),
('fs-lr-0465240', '4.7.2', 'will'),
('fs-lr-0468150', '4.7.24', 'will'),
('fs-lr-0474460', '4.7.62', 'will'),
('fs-lr-0474740', '4.7.63', 'Would'),
('fs-lr-0477830', '4.7.82', 'will'),
('fs-lr-0481900', '4.7.111', 'will'),
('fs-lr-0488790', '5.1.42', 'will'),
('fs-lr-0490360', '5.1.49', 'will'),
('fs-lr-0491520', '5.1.57', 'will'),
('fs-lr-0492340', '5.1.62', 'will'),
('fs-lr-0494060', '5.1.72', 'would'),
('fs-lr-0499570', '5.3.10', 'will'),
('fs-lr-0504080', '5.3.38', 'Will'),
('fs-lr-0504230', '5.3.38', '’lt'),
('fs-lr-0513870', '5.3.105', 'will'),
('fs-lr-0516260', '5.3.121', 'will'),
('fs-lr-0518290', '5.3.134', 'will'),
('fs-lr-0527910', '5.3.196', 'will'),
('fs-lr-0531350', '5.3.218', 'would'),
('fs-lr-0531790', '5.3.221', 'would'),
('fs-lr-0535040', '5.3.242', 'would'),
('fs-lr-0535390', '5.3.244', 'would'),
('fs-lr-0540360', '5.3.277', 'will'),
('fs-lr-0545820', '5.3.314', 'will'),
('fs-lr-0548620', '5.3.334', 'would'),
('fs-lr-0552670', '5.3.362', 'will'),
('fs-lr-0554310', '5.3.371', '’lt'),
('fs-lr-0555780', '5.3.381', 'would'),
