('fs-lr-0004900', '1.1.31', 'shall'),
('fs-lr-0120800', '1.4.214', 'should'),
('fs-lr-0124520', '1.4.240', 'should'),
('fs-lr-0125490', '1.4.247', 'should'),
('fs-lr-0127090', '1.4.257', 'shall'),
('fs-lr-0135630', '1.4.315', 'Should'),
('fs-lr-0137090', '1.4.324', 'shall'),
('fs-lr-0137380', '1.4.325', 'shalt'),
('fs-lr-0138940', '1.4.337', 'Should'),
('fs-lr-0144850', '1.5.4', 'shall'),
('fs-lr-0145790', '1.5.11', 'shall'),
('fs-lr-0145960', '1.5.14', 'Shalt'),
('fs-lr-0150290', '1.5.43', 'shouldst'),
('fs-lr-0151430', '1.5.51', 'Shall'),
('fs-lr-0161800', '2.1.67', 'shall'),
('fs-lr-0162430', '2.1.71', 'shall'),
('fs-lr-0163870', '2.1.80', 'should'),
('fs-lr-0165620', '2.1.94', 'shall'),
('fs-lr-0171080', '2.1.129', 'shall'),
('fs-lr-0171760', '2.1.133', 'shall'),
('fs-lr-0171940', '2.1.134', 'shall'),
('fs-lr-0172130', '2.1.136', 'shall'),
('fs-lr-0185700', '2.2.74', 'should'),
('fs-lr-0192310', '2.2.119', 'should'),
('fs-lr-0195200', '2.2.141', 'shall'),
('fs-lr-0195810', '2.2.146', 'shall'),
('fs-lr-0196370', '2.2.149', 'should'),
('fs-lr-0198200', '2.2.160', 'Should'),
('fs-lr-0200050', '2.2.171', 'shall'),
('fs-lr-0201980', '2.2.183', 'shall'),
('fs-lr-0206220', '2.4.1', 'should'),
('fs-lr-0212920', '2.4.57', 'Shall'),
('fs-lr-0213370', '2.4.60', 'shalt'),
('fs-lr-0222800', '2.4.127', 'Should'),
('fs-lr-0226280', '2.4.145', 'shouldst'),
('fs-lr-0229320', '2.4.166', 'should'),
('fs-lr-0233070', '2.4.192', 'shalt'),
('fs-lr-0233230', '2.4.193', 'shall'),
('fs-lr-0239770', '2.4.238', 'shall'),
('fs-lr-0245530', '2.4.273', 'should'),
('fs-lr-0246040', '2.4.276', 'Should'),
('fs-lr-0252910', '2.4.321', 'shall'),
('fs-lr-0253220', '2.4.322', 'shall'),
('fs-lr-0253770', '2.4.326', 'Shall'),
('fs-lr-0254060', '2.4.327', 'shall'),
('fs-lr-0264480', '3.1.36', 'shall'),
('fs-lr-0266030', '3.1.52', 'shall'),
('fs-lr-0266190', '3.1.53', 'shall'),
('fs-lr-0272260', '3.2.31', 'shall'),
('fs-lr-0272570', '3.2.34', 'should'),
('fs-lr-0272610', '3.2.35', 'Shall'),
('fs-lr-0281860', '3.2.98', 'shall'),
('fs-lr-0282260', '3.2.101', 'shall'),
('fs-lr-0282420', '3.2.102', 'shall'),
('fs-lr-0286590', '3.3.21', 'shall'),
('fs-lr-0290220', '3.4.18', 'should'),
('fs-lr-0293020', '3.4.34', 'shall'),
('fs-lr-0299860', '3.4.79', 'Should'),
('fs-lr-0323150', '3.5.25', 'shalt'),
('fs-lr-0326810', '3.6.20', 'shall'),
('fs-lr-0330760', '3.6.48', 'shall'),
('fs-lr-0338580', '3.6.96', 'shalt'),
('fs-lr-0338810', '3.6.99', 'shouldst'),
('fs-lr-0344750', '3.7.12', 'shall'),
('fs-lr-0347290', '3.7.29', 'Shall'),
('fs-lr-0348940', '3.7.42', 'shalt'),
('fs-lr-0350030', '3.7.50', 'should'),
('fs-lr-0353800', '3.7.77', 'shouldst'),
('fs-lr-0354090', '3.7.79', 'shall'),
('fs-lr-0354290', '3.7.81', 'shalt'),
('fs-lr-0369800', '4.1.43', 'should'),
('fs-lr-0375610', '4.1.80', 'should'),
('fs-lr-0376730', '4.1.88', 'shall'),
('fs-lr-0376940', '4.1.90', 'shall'),
('fs-lr-0378980', '4.2.12', 'should'),
('fs-lr-0379250', '4.2.14', 'shall'),
('fs-lr-0380550', '4.2.22', 'Shall'),
('fs-lr-0396610', '4.3.20', 'should'),
('fs-lr-0402670', '4.3.64', 'shall'),
('fs-lr-0410800', '4.5.22', 'should'),
('fs-lr-0414430', '4.5.43', 'should'),
('fs-lr-0414890', '4.6.1', 'shall'),
('fs-lr-0421800', '4.6.49', 'should'),
('fs-lr-0434110', '4.6.130', 'shalt'),
('fs-lr-0437700', '4.6.150', 'Shall'),
('fs-lr-0447650', '4.6.211', 'shall'),
('fs-lr-0447950', '4.6.213', 'shall'),
('fs-lr-0449530', '4.6.223', 'shall'),
('fs-lr-0463780', '4.6.311', 'should'),
('fs-lr-0465020', '4.7.1', 'shall'),
('fs-lr-0471190', '4.7.43', 'should'),
('fs-lr-0474140', '4.7.60', 'should'),
('fs-lr-0476040', '4.7.73', 'should'),
('fs-lr-0485020', '5.1.18', 'shall'),
('fs-lr-0485870', '5.1.22', 'Should'),
('fs-lr-0488150', '5.1.38', 'shall'),
('fs-lr-0491130', '5.1.55', 'shall'),
('fs-lr-0492950', '5.1.65', 'shall'),
('fs-lr-0493520', '5.1.69', 'shall'),
('fs-lr-0494650', '5.1.76', 'Shall'),
('fs-lr-0499090', '5.3.8', 'Shall'),
('fs-lr-0501990', '5.3.25', 'shall'),
('fs-lr-0502350', '5.3.27', 'shall'),
('fs-lr-0502520', '5.3.28', 'shall'),
('fs-lr-0506440', '5.3.50', 'shall'),
('fs-lr-0508060', '5.3.62', 'shall'),
('fs-lr-0510820', '5.3.82', 'should'),
('fs-lr-0511400', '5.3.86', 'should'),
('fs-lr-0523370', '5.3.170', 'should'),
('fs-lr-0524720', '5.3.178', 'shall'),
('fs-lr-0524860', '5.3.179', 'shall'),
('fs-lr-0526070', '5.3.186', 'shall'),
('fs-lr-0534250', '5.3.237', 'shall'),
('fs-lr-0545250', '5.3.310', 'should'),
('fs-lr-0552530', '5.3.362', 'Shall'),
('fs-lr-0553320', '5.3.366', 'shall'),
('fs-lr-0553960', '5.3.370', 'should'),
('fs-lr-0557940', '5.3.395', 'Shall'),
