('fs-oth-0005430', '1.1.36', 'would'),
('fs-oth-0113500', '1.3.428', 'would'),
('fs-oth-0114410', '1.3.433', 'Will'),
('fs-oth-0115130', '1.3.436', 'will'),
('fs-oth-0116310', '1.3.444', 'will'),
('fs-oth-0132090', '2.1.100', 'will'),
('fs-oth-0133980', '2.1.112', 'would'),
('fs-oth-0134350', '2.1.114', 'would'),
('fs-oth-0136940', '2.1.131', 'wouldst'),
('fs-oth-0138130', '2.1.139', 'wouldst'),
('fs-oth-0142120', '2.1.164', 'will'),
('fs-oth-0145490', '2.1.183', 'will'),
('fs-oth-0145820', '2.1.184', 'will'),
('fs-oth-0147190', '2.1.191', 'Would'),
('fs-oth-0155580', '2.1.245', 'will'),
('fs-oth-0157260', '2.1.253', 'will'),
('fs-oth-0157590', '2.1.255', 'will'),
('fs-oth-0160880', '2.1.274', 'would'),
('fs-oth-0164560', '2.1.296', 'will'),
('fs-oth-0165750', '2.1.303', 'will'),
('fs-oth-0174010', '2.3.6', 'Will'),
('fs-oth-0177930', '2.3.32', 'would'),
('fs-oth-0178520', '2.3.36', 'would'),
('fs-oth-0187800', '2.3.104', 'Will'),
('fs-oth-0192700', '2.3.132', 'Will'),
('fs-oth-0195340', '2.3.150', 'would'),
('fs-oth-0197580', '2.3.166', 'will'),
('fs-oth-0198240', '2.3.170', 'will'),
('fs-oth-0198310', '2.3.170', 'will'),
('fs-oth-0198410', '2.3.171', 'will'),
('fs-oth-0202550', '2.3.198', 'would'),
('fs-oth-0213930', '2.3.272', 'will'),
('fs-oth-0217490', '2.3.293', 'would'),
('fs-oth-0217850', '2.3.296', 'will'),
('fs-oth-0222070', '2.3.322', 'will'),
('fs-oth-0222580', '2.3.324', 'would'),
('fs-oth-0227230', '2.3.350', 'will'),
('fs-oth-0230550', '2.3.371', 'will'),
('fs-oth-0231990', '2.3.380', 'will'),
('fs-oth-0233280', '2.3.387', 'will'),
('fs-oth-0235100', '2.3.398', 'will'),
('fs-oth-0237270', '3.1.1', 'will'),
('fs-oth-0239470', '3.1.15', 'will'),
('fs-oth-0241710', '3.1.28', 'Wilt'),
('fs-oth-0241940', '3.1.29', 'will'),
('fs-oth-0243130', '3.1.37', 'will'),
('fs-oth-0244500', '3.1.47', 'will'),
('fs-oth-0246520', '3.1.62', 'will'),
('fs-oth-0247600', '3.2.3', 'will'),
('fs-oth-0248590', '3.3.1', 'will'),
('fs-oth-0249320', '3.3.6', 'will'),
('fs-oth-0251300', '3.3.20', 'will'),
('fs-oth-0254780', '3.3.42', 'would'),
('fs-oth-0259790', '3.3.77', 'would'),
('fs-oth-0261080', '3.3.83', 'will'),
('fs-oth-0261120', '3.3.84', 'will'),
('fs-oth-0262560', '3.3.93', 'will'),
('fs-oth-0270280', '3.3.148', 'would'),
('fs-oth-0273930', '3.3.176', 'Would'),
('fs-oth-0280310', '3.3.218', 'will'),
('fs-oth-0282470', '3.3.230', 'would'),
('fs-oth-0285720', '3.3.253', 'will'),
('fs-oth-0286430', '3.3.258', 'will'),
('fs-oth-0288550', '3.3.272', 'will'),
('fs-oth-0289030', '3.3.276', 'will'),
('fs-oth-0290530', '3.3.285', 'would'),
('fs-oth-0291830', '3.3.293', 'will'),
('fs-oth-0297670', '3.3.329', 'will'),
('fs-oth-0299830', '3.3.341', 'will'),
('fs-oth-0301060', '3.3.349', 'will'),
('fs-oth-0302440', '3.3.360', 'will'),
('fs-oth-0303770', '3.3.369', 'will'),
('fs-oth-0315780', '3.3.445', 'Would'),
('fs-oth-0316250', '3.3.448', 'would'),
('fs-oth-0316320', '3.3.449', 'Would'),
('fs-oth-0316420', '3.3.449', 'will'),
('fs-oth-0316640', '3.3.451', 'Would'),
('fs-oth-0318720', '3.3.465', 'Will'),
('fs-oth-0319550', '3.3.470', 'will'),
('fs-oth-0320210', '3.3.473', 'will'),
('fs-oth-0320840', '3.3.477', 'would'),
('fs-oth-0329310', '3.3.536', 'will'),
('fs-oth-0330360', '3.3.543', 'will'),
('fs-oth-0333070', '3.4.16', 'will'),
('fs-oth-0333760', '3.4.19', 'will'),
('fs-oth-0334080', '3.4.22', 'will'),
('fs-oth-0335860', '3.4.35', 'will'),
('fs-oth-0341650', '3.4.75', 'would'),
('fs-oth-0343900', '3.4.90', 'would'),
('fs-oth-0345400', '3.4.100', 'will'),
('fs-oth-0349860', '3.4.132', 'would'),
('fs-oth-0352350', '3.4.149', 'will'),
('fs-oth-0352440', '3.4.149', 'will'),
('fs-oth-0353740', '3.4.158', 'will'),
('fs-oth-0356990', '3.4.180', 'will'),
('fs-oth-0357800', '3.4.186', 'will'),
('fs-oth-0362560', '3.4.218', 'will'),
('fs-oth-0362610', '3.4.218', 'would'),
('fs-oth-0364980', '4.1.1', 'Will'),
('fs-oth-0367900', '4.1.23', 'would'),
('fs-oth-0370580', '4.1.44', 'will'),
('fs-oth-0371540', '4.1.50', 'would'),
('fs-oth-0374360', '4.1.71', 'will'),
('fs-oth-0374530', '4.1.72', 'would'),
('fs-oth-0375160', '4.1.76', 'Would'),
('fs-oth-0375200', '4.1.76', 'would'),
('fs-oth-0379130', '4.1.101', 'will'),
('fs-oth-0380260', '4.1.108', 'will'),
('fs-oth-0380770', '4.1.111', 'Will'),
('fs-oth-0380890', '4.1.112', 'will'),
('fs-oth-0386540', '4.1.149', 'will'),
('fs-oth-0391900', '4.1.180', 'will'),
('fs-oth-0392440', '4.1.184', 'Will'),
('fs-oth-0392830', '4.1.186', 'would'),
('fs-oth-0393000', '4.1.188', 'Will'),
('fs-oth-0394400', '4.1.199', 'would'),
('fs-oth-0396420', '4.1.210', 'will'),
('fs-oth-0398160', '4.1.221', 'will'),
('fs-oth-0402640', '4.1.253', 'will'),
('fs-oth-0403140', '4.1.256', 'would'),
('fs-oth-0404880', '4.1.272', 'would'),
('fs-oth-0405670', '4.1.277', 'would'),
('fs-oth-0405860', '4.1.279', 'will'),
('fs-oth-0406470', '4.1.284', 'would'),
('fs-oth-0406830', '4.1.286', 'would'),
('fs-oth-0408200', '4.1.294', 'will'),
('fs-oth-0410500', '4.1.309', 'would'),
('fs-oth-0410870', '4.1.311', 'would'),
('fs-oth-0410960', '4.1.312', 'would'),
('fs-oth-0411850', '4.1.320', 'will'),
('fs-oth-0416660', '4.2.26', 'will'),
('fs-oth-0424620', '4.2.79', 'would'),
('fs-oth-0425500', '4.2.86', 'would'),
('fs-oth-0426320', '4.2.91', 'will'),
('fs-oth-0434890', '4.2.148', 'Would'),
('fs-oth-0435460', '4.2.153', 'will'),
('fs-oth-0436010', '4.2.156', 'will'),
('fs-oth-0437500', '4.2.166', '’dst'),
('fs-oth-0439520', '4.2.180', 'will'),
('fs-oth-0440340', '4.2.185', 'will'),
('fs-oth-0444040', '4.2.209', 'will'),
('fs-oth-0444480', '4.2.212', 'Will'),
('fs-oth-0445490', '4.2.218', 'would'),
('fs-oth-0447080', '4.2.228', 'will'),
('fs-oth-0447240', '4.2.229', 'will'),
('fs-oth-0447360', '4.2.230', 'will'),
('fs-oth-0447670', '4.2.231', 'will'),
('fs-oth-0452470', '4.2.264', 'would'),
('fs-oth-0452980', '4.2.266', 'will'),
('fs-oth-0453280', '4.2.268', 'will'),
('fs-oth-0453430', '4.2.268', 'will'),
('fs-oth-0453780', '4.2.270', 'will'),
('fs-oth-0454310', '4.2.272', 'will'),
('fs-oth-0455020', '4.2.276', 'will'),
('fs-oth-0456220', '4.3.5', 'Will'),
('fs-oth-0456600', '4.3.7', 'will'),
('fs-oth-0456870', '4.3.10', 'will'),
('fs-oth-0457350', '4.3.12', 'will'),
('fs-oth-0458210', '4.3.19', 'would'),
('fs-oth-0458360', '4.3.20', 'would'),
('fs-oth-0460680', '4.3.33', 'Will'),
('fs-oth-0461920', '4.3.41', 'would'),
('fs-oth-0465990', '4.3.72', 'Wouldst'),
('fs-oth-0466230', '4.3.73', 'would'),
('fs-oth-0466760', '4.3.77', 'Wouldst'),
('fs-oth-0467370', '4.3.80', 'wouldst'),
('fs-oth-0467770', '4.3.82', 'would'),
('fs-oth-0468460', '4.3.86', 'would'),
('fs-oth-0468910', '4.3.88', 'would'),
('fs-oth-0470140', '4.3.96', 'would'),
('fs-oth-0474330', '5.1.1', 'will'),
('fs-oth-0479040', '5.1.27', 'will'),
('fs-oth-0494580', '5.1.129', 'will'),
('fs-oth-0497860', '5.1.150', 'Will'),
('fs-oth-0501800', '5.2.20', 'will'),
('fs-oth-0502810', '5.2.27', 'Will'),
('fs-oth-0503900', '5.2.35', 'will'),
('fs-oth-0503980', '5.2.36', 'would'),
('fs-oth-0504200', '5.2.37', 'would'),
('fs-oth-0504880', '5.2.42', 'will'),
('fs-oth-0506930', '5.2.57', 'will'),
('fs-oth-0511060', '5.2.90', 'will'),
('fs-oth-0514020', '5.2.109', 'would'),
('fs-oth-0514620', '5.2.114', 'would'),
('fs-oth-0523690', '5.2.175', 'would'),
('fs-oth-0530900', '5.2.220', 'will'),
('fs-oth-0533180', '5.2.234', 'will'),
('fs-oth-0535140', '5.2.247', 'would'),
('fs-oth-0537130', '5.2.261', 'will'),
('fs-oth-0537920', '5.2.265', 'will'),
('fs-oth-0542700', '5.2.296', 'will'),
('fs-oth-0544340', '5.2.305', 'will'),
('fs-oth-0544910', '5.2.308', 'will'),
('fs-oth-0547810', '5.2.325', 'will'),
('fs-oth-0547970', '5.2.326', 'will'),
('fs-oth-0551800', '5.2.346', 'will'),
('fs-oth-0552730', '5.2.353', 'Will'),
('fs-oth-0553370', '5.2.356', 'will'),
('fs-oth-0553560', '5.2.358', 'will'),
('fs-oth-0564630', '5.2.434', 'will'),
