('fs-rom-0002070', 'PRO.14', 'shall'),
('fs-rom-0153100', '2.2.107', 'should'),
('fs-rom-0154690', '2.2.117', 'shall'),
('fs-rom-0164600', '2.2.181', 'Shall'),
('fs-rom-0165390', '2.2.186', 'shall'),
('fs-rom-0167230', '2.2.198', 'should'),
('fs-rom-0167570', '2.2.201', 'shall'),
('fs-rom-0184790', '2.4.1', 'should'),
('fs-rom-0189830', '2.4.33', 'should'),
('fs-rom-0208190', '2.4.154', 'shall'),
('fs-rom-0209160', '2.4.160', 'should'),
('fs-rom-0210930', '2.4.169', 'should'),
('fs-rom-0211560', '2.4.172', 'should'),
('fs-rom-0213590', '2.4.185', 'shall'),
('fs-rom-0214210', '2.4.188', 'shall'),
('fs-rom-0214370', '2.4.189', 'shall'),
('fs-rom-0214720', '2.4.191', 'shall'),
('fs-rom-0220560', '2.5.4', 'should'),
('fs-rom-0230960', '2.5.63', 'should'),
('fs-rom-0233780', '2.5.81', 'shall'),
('fs-rom-0237800', '2.6.22', 'shall'),
('fs-rom-0240360', '2.6.36', 'shall'),
('fs-rom-0241250', '3.1.3', 'shall'),
('fs-rom-0243570', '3.1.16', 'should'),
('fs-rom-0246780', '3.1.33', 'should'),
('fs-rom-0248500', '3.1.42', 'shall'),
('fs-rom-0249590', '3.1.50', 'shall'),
('fs-rom-0252710', '3.1.67', 'shall'),
('fs-rom-0253320', '3.1.71', 'shalt'),
('fs-rom-0254770', '3.1.80', 'shall'),
('fs-rom-0258640', '3.1.102', 'shall'),
('fs-rom-0260260', '3.1.111', 'shall'),
('fs-rom-0264240', '3.1.136', 'Shalt'),
('fs-rom-0264350', '3.1.137', 'shall'),
('fs-rom-0273720', '3.1.194', 'should'),
('fs-rom-0274590', '3.1.201', 'shall'),
('fs-rom-0274970', '3.1.203', 'shall'),
('fs-rom-0279260', '3.2.23', 'shall'),
('fs-rom-0283410', '3.2.50', 'should'),
('fs-rom-0283800', '3.2.52', 'shall'),
('fs-rom-0286730', '3.2.69', 'should'),
('fs-rom-0289960', '3.2.90', 'should'),
('fs-rom-0292120', '3.2.106', 'Shall'),
('fs-rom-0292460', '3.2.107', 'shall'),
('fs-rom-0297640', '3.2.141', 'shall'),
('fs-rom-0310130', '3.3.65', 'should'),
('fs-rom-0313580', '3.3.85', 'shall'),
('fs-rom-0315550', '3.3.98', 'should'),
('fs-rom-0321630', '3.3.135', 'should'),
('fs-rom-0325770', '3.3.160', 'shalt'),
('fs-rom-0329380', '3.3.181', 'shall'),
('fs-rom-0334270', '3.4.24', 'shall'),
('fs-rom-0345310', '3.5.46', 'shall'),
('fs-rom-0345920', '3.5.51', 'shall'),
('fs-rom-0346180', '3.5.52', 'shall'),
('fs-rom-0350550', '3.5.78', 'shall'),
('fs-rom-0353370', '3.5.95', 'Shall'),
('fs-rom-0353540', '3.5.96', 'shall'),
('fs-rom-0353900', '3.5.98', 'shall'),
('fs-rom-0354670', '3.5.103', 'should'),
('fs-rom-0357520', '3.5.120', 'Shall'),
('fs-rom-0357890', '3.5.122', 'shall'),
('fs-rom-0358290', '3.5.124', 'should'),
('fs-rom-0358850', '3.5.127', 'shall'),
('fs-rom-0371100', '3.5.200', 'shall'),
('fs-rom-0372370', '3.5.206', 'shall'),
('fs-rom-0374360', '3.5.216', 'shall'),
('fs-rom-0374650', '3.5.218', 'shall'),
('fs-rom-0375200', '3.5.221', 'should'),
('fs-rom-0380270', '3.5.253', 'shall'),
('fs-rom-0383560', '4.1.16', 'should'),
('fs-rom-0384540', '4.1.21', 'shall'),
('fs-rom-0384960', '4.1.24', 'should'),
('fs-rom-0387790', '4.1.39', 'shall'),
('fs-rom-0388390', '4.1.42', 'should'),
('fs-rom-0391370', '4.1.58', 'Shall'),
('fs-rom-0391730', '4.1.60', 'shall'),
('fs-rom-0392230', '4.1.64', 'Shall'),
('fs-rom-0397740', '4.1.97', 'shall'),
('fs-rom-0397930', '4.1.99', 'Shall'),
('fs-rom-0398170', '4.1.100', 'shall'),
('fs-rom-0398390', '4.1.101', 'shall'),
('fs-rom-0398890', '4.1.105', 'Shall'),
('fs-rom-0399260', '4.1.107', 'shalt'),
('fs-rom-0400240', '4.1.113', 'shalt'),
('fs-rom-0400660', '4.1.115', 'shalt'),
('fs-rom-0400700', '4.1.116', 'Shall'),
('fs-rom-0400900', '4.1.117', 'shall'),
('fs-rom-0401200', '4.1.119', 'Shall'),
('fs-rom-0401380', '4.1.120', 'shall'),
('fs-rom-0402800', '4.1.127', 'shall'),
('fs-rom-0403820', '4.2.3', 'shall'),
('fs-rom-0404840', '4.2.10', 'shall'),
('fs-rom-0408050', '4.2.30', 'should'),
('fs-rom-0409830', '4.2.39', 'shall'),
('fs-rom-0410210', '4.2.42', 'shall'),
('fs-rom-0414400', '4.3.15', 'shall'),
('fs-rom-0415030', '4.3.19', 'should'),
('fs-rom-0415600', '4.3.23', 'Shall'),
('fs-rom-0416030', '4.3.24', 'shall'),
('fs-rom-0416570', '4.3.27', 'should'),
('fs-rom-0416930', '4.3.29', 'should'),
('fs-rom-0417640', '4.3.34', 'Shall'),
('fs-rom-0420360', '4.3.50', 'shall'),
('fs-rom-0426450', '4.4.24', 'shalt'),
('fs-rom-0429360', '4.5.9', 'shall'),
('fs-rom-0441340', '4.5.78', 'should'),
('fs-rom-0462160', '5.1.58', 'should'),
('fs-rom-0468210', '5.2.2', 'should'),
('fs-rom-0473860', '5.3.5', 'shall'),
('fs-rom-0474220', '5.3.7', 'shalt'),
('fs-rom-0476100', '5.3.17', 'shall'),
('fs-rom-0479170', '5.3.34', 'shall'),
('fs-rom-0480220', '5.3.41', 'shalt'),
('fs-rom-0486780', '5.3.78', 'should'),
('fs-rom-0491220', '5.3.102', 'Shall'),
('fs-rom-0499520', '5.3.154', 'should'),
('fs-rom-0507440', '5.3.197', 'should'),
('fs-rom-0511340', '5.3.221', 'shalt'),
('fs-rom-0516950', '5.3.256', 'should'),
('fs-rom-0517380', '5.3.258', 'should'),
('fs-rom-0526110', '5.3.312', 'shall'),
('fs-rom-0526450', '5.3.314', 'shall'),
('fs-rom-0527240', '5.3.319', 'shall'),
