('fs-rom-0004500', '1.1.13', 'will'),
('fs-rom-0229080', '2.5.52', 'would'),
('fs-rom-0237060', '2.6.17', 'Will'),
('fs-rom-0240160', '2.6.35', 'will'),
('fs-rom-0243690', '3.1.17', 'would'),
('fs-rom-0243840', '3.1.18', 'wilt'),
('fs-rom-0244250', '3.1.20', 'wilt'),
('fs-rom-0244730', '3.1.22', 'would'),
('fs-rom-0246430', '3.1.31', 'wilt'),
('fs-rom-0247780', '3.1.38', 'will'),
('fs-rom-0248710', '3.1.43', 'will'),
('fs-rom-0250590', '3.1.56', 'will'),
('fs-rom-0254130', '3.1.76', 'will'),
('fs-rom-0254220', '3.1.77', 'wouldst'),
('fs-rom-0254980', '3.1.81', 'Will'),
('fs-rom-0264850', '3.1.140', 'will'),
('fs-rom-0274750', '3.1.202', 'will'),
('fs-rom-0275580', '3.1.206', 'will'),
('fs-rom-0276300', '3.2.3', 'would'),
('fs-rom-0278660', '3.2.19', 'wilt'),
('fs-rom-0279520', '3.2.25', 'will'),
('fs-rom-0279750', '3.2.26', 'will'),
('fs-rom-0283070', '3.2.48', 'would'),
('fs-rom-0291910', '3.2.105', 'Will'),
('fs-rom-0292940', '3.2.111', 'would'),
('fs-rom-0293610', '3.2.115', 'would'),
('fs-rom-0293760', '3.2.116', 'would'),
('fs-rom-0294280', '3.2.120', 'would'),
('fs-rom-0295380', '3.2.128', 'will'),
('fs-rom-0297270', '3.2.140', 'Will'),
('fs-rom-0297400', '3.2.140', 'will'),
('fs-rom-0299470', '3.2.153', 'will'),
('fs-rom-0308740', '3.3.56', 'wilt'),
('fs-rom-0312620', '3.3.80', 'wilt'),
('fs-rom-0312980', '3.3.81', 'will'),
('fs-rom-0313390', '3.3.84', 'will'),
('fs-rom-0320070', '3.3.126', 'Wilt'),
('fs-rom-0321030', '3.3.131', 'wouldst'),
('fs-rom-0323660', '3.3.147', 'would'),
('fs-rom-0327620', '3.3.171', 'will'),
('fs-rom-0331610', '3.4.7', 'would'),
('fs-rom-0332170', '3.4.11', 'will'),
('fs-rom-0332540', '3.4.13', 'will'),
('fs-rom-0332780', '3.4.14', 'will'),
('fs-rom-0334420', '3.4.25', 'Will'),
('fs-rom-0335730', '3.4.32', 'would'),
('fs-rom-0337220', '3.5.1', 'Wilt'),
('fs-rom-0340260', '3.5.18', 'wilt'),
('fs-rom-0341170', '3.5.23', 'will'),
('fs-rom-0341340', '3.5.24', 'wills'),
('fs-rom-0342740', '3.5.32', 'would'),
('fs-rom-0345570', '3.5.49', 'will'),
('fs-rom-0348140', '3.5.63', 'wilt'),
('fs-rom-0349540', '3.5.72', 'wilt'),
('fs-rom-0352620', '3.5.91', 'Would'),
('fs-rom-0352850', '3.5.92', 'will'),
('fs-rom-0353760', '3.5.97', 'wilt'),
('fs-rom-0354570', '3.5.102', 'would'),
('fs-rom-0358630', '3.5.126', 'will'),
('fs-rom-0359450', '3.5.130', 'will'),
('fs-rom-0361490', '3.5.141', 'will'),
('fs-rom-0361930', '3.5.144', 'will'),
('fs-rom-0362080', '3.5.145', 'would'),
('fs-rom-0362510', '3.5.147', 'will'),
('fs-rom-0364940', '3.5.160', 'will'),
('fs-rom-0370030', '3.5.194', 'would'),
('fs-rom-0370860', '3.5.199', 'will'),
('fs-rom-0371050', '3.5.200', 'will'),
('fs-rom-0374010', '3.5.215', 'wilt'),
('fs-rom-0379230', '3.5.247', 'will'),
('fs-rom-0381180', '4.1.2', 'will'),
('fs-rom-0383440', '4.1.16', 'would'),
('fs-rom-0385260', '4.1.26', 'will'),
('fs-rom-0385450', '4.1.27', 'will'),
('fs-rom-0385770', '4.1.28', 'will'),
('fs-rom-0388550', '4.1.43', 'will'),
('fs-rom-0393480', '4.1.71', 'would'),
('fs-rom-0393770', '4.1.73', 'will'),
('fs-rom-0393950', '4.1.74', 'wilt'),
('fs-rom-0396220', '4.1.89', 'will'),
('fs-rom-0401040', '4.1.118', 'Will'),
('fs-rom-0408810', '4.2.34', 'will'),
('fs-rom-0410090', '4.2.41', 'will'),
('fs-rom-0411070', '4.2.46', 'will'),
('fs-rom-0424470', '4.4.13', 'will'),
('fs-rom-0425730', '4.4.20', 'will'),
('fs-rom-0426020', '4.4.21', 'will'),
('fs-rom-0426700', '4.4.26', 'will'),
('fs-rom-0426960', '4.4.27', 'would'),
('fs-rom-0430210', '4.5.13', 'Will'),
('fs-rom-0432180', '4.5.25', 'will'),
('fs-rom-0434420', '4.5.38', 'will'),
('fs-rom-0435890', '4.5.45', 'will'),
('fs-rom-0445130', '4.5.101', 'will'),
('fs-rom-0446510', '4.5.107', 'will'),
('fs-rom-0447430', '4.5.115', 'will'),
('fs-rom-0447570', '4.5.117', 'will'),
('fs-rom-0447740', '4.5.118', 'will'),
('fs-rom-0448040', '4.5.119', 'will'),
('fs-rom-0448180', '4.5.121', 'will'),
('fs-rom-0448320', '4.5.123', 'will'),
('fs-rom-0448520', '4.5.124', 'will'),
('fs-rom-0449490', '4.5.129', 'will'),
('fs-rom-0451660', '4.5.144', 'will'),
('fs-rom-0457420', '5.1.27', 'will'),
('fs-rom-0458880', '5.1.37', 'will'),
('fs-rom-0461620', '5.1.55', 'would'),
('fs-rom-0463200', '5.1.65', 'will'),
('fs-rom-0465600', '5.1.79', 'will'),
('fs-rom-0465800', '5.1.80', 'will'),
('fs-rom-0466060', '5.1.81', 'will'),
('fs-rom-0466360', '5.1.83', 'would'),
('fs-rom-0469710', '5.2.11', 'would'),
('fs-rom-0472070', '5.2.25', 'will'),
('fs-rom-0472170', '5.2.26', 'will'),
('fs-rom-0472460', '5.2.28', 'will'),
('fs-rom-0473440', '5.3.2', 'would'),
('fs-rom-0475020', '5.3.11', 'will'),
('fs-rom-0475710', '5.3.14', 'will'),
('fs-rom-0476050', '5.3.16', 'will'),
('fs-rom-0479320', '5.3.35', 'will'),
('fs-rom-0480010', '5.3.40', 'will'),
('fs-rom-0482560', '5.3.53', 'will'),
('fs-rom-0485120', '5.3.70', 'Wilt'),
('fs-rom-0485530', '5.3.71', 'will'),
('fs-rom-0486130', '5.3.74', 'will'),
('fs-rom-0491780', '5.3.106', 'will'),
('fs-rom-0492100', '5.3.108', 'will'),
('fs-rom-0492320', '5.3.110', 'Will'),
('fs-rom-0501390', '5.3.165', 'will'),
('fs-rom-0502190', '5.3.169', 'will'),
('fs-rom-0512300', '5.3.228', 'will'),
('fs-rom-0513940', '5.3.238', 'will'),
('fs-rom-0515490', '5.3.247', 'would'),
('fs-rom-0516160', '5.3.251', 'would'),
('fs-rom-0519510', '5.3.272', 'would'),
('fs-rom-0522050', '5.3.287', 'will'),
('fs-rom-0525790', '5.3.310', 'will'),
('fs-rom-0526920', '5.3.317', 'will'),
